,FIYAT,IL,ILCE,MAHALLE,ARSA_TIPI,METREKARE,TAPU_DURUMU,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
1745,710000,SINOP,MERKEZ,BOSTANCILI,I_K,700,MUSTAKIL PARSEL,469.6666666666667,2.3636363636363638,1,0,0,0,1,0,1,0
1746,375000,MUGLA,MILAS,BOGAZICI,I_K,290,MUSTAKIL PARSEL,434.63625,22.0,0,0,1,0,1,0,0,1
1747,210000,KONYA,KARATAY,ISTIKLAL,I_K,593,MUSTAKIL PARSEL,61.333333333333336,89.66666666666667,1,0,0,1,0,1,0,0
1749,360000,MERSIN(ICEL),YENISEHIR,KOCAVILAYET,I_K,399,MUSTAKIL PARSEL,900.0,6.0,0,0,1,0,1,0,1,0
1750,600000,AYDIN,INCIRLIOVA,DEREAGZI,BAHCE,600,MUSTAKIL PARSEL,604.6363636363636,300.0,1,0,0,0,1,1,0,0
1752,1450000,ANKARA,GOLBASI,KIZILCASAR,I_K,3000,MUSTAKIL PARSEL,500.0,364.4871794871795,1,0,0,0,1,1,0,0
1753,118000,BURSA,MUDANYA,SOGUTPINAR,TARLA,1350,MUSTAKIL PARSEL,49.166666666666664,80.0,0,0,1,0,1,0,1,0
1754,95000,ANKARA,MAMAK,BAYINDIR,I_K,500,HISSELI TAPU,3848.1353333333336,1.0,0,0,1,0,1,1,0,0
1755,145000,KARABUK,SAFRANBOLU,YAZIKOY,BAHCE,945,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
1757,210000,TEKIRDAG,SARAY,BEYAZKOY,I_K,2400,MUSTAKIL PARSEL,120.0,376.0,0,0,1,0,1,1,0,0
1759,80000,AYDIN,DIDIM,AK - YENIKOY,I_K,300,MUSTAKIL PARSEL,869.9794444444445,6.0,0,0,1,0,1,1,0,0
1760,450000,GAZIANTEP,SAHINBEY,UFACIK,BAHCE,4000,MUSTAKIL PARSEL,5268.915384615384,264.3611111111111,1,0,0,0,1,1,0,0
1761,300000,BURSA,MUDANYA,CEPNI,BAHCE,950,MUSTAKIL PARSEL,1050.0,25.428571428571427,0,0,1,0,1,0,1,0
1762,73000,ANKARA,GOLBASI,HACIMURATLI,BAHCE,500,HISSELI TAPU,15.0,2.0,0,1,0,0,1,1,0,0
1763,1650000,ANKARA,GOLBASI,KIZILCASAR,I_K,912,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,1,0,0
1764,515000,CANAKKALE,MERKEZ,HALILELI,K_T,600,MUSTAKIL PARSEL,604.6363636363636,300.0,0,1,0,0,1,0,1,0
1765,450000,MUGLA,ORTACA,MERGENLI,I_K,650,MUSTAKIL PARSEL,494.6923076923077,64.29411764705883,0,0,1,0,1,0,1,0
1768,121000,BALIKESIR,BURHANIYE,AGACIK,TARLA,4856,MUSTAKIL PARSEL,516.95,89.66666666666667,0,1,0,0,1,1,0,0
1772,160000,BALIKESIR,GONEN,TUZAKCI,BAG,460,MUSTAKIL PARSEL,820.4,8.166666666666666,1,0,0,0,1,1,0,0
1773,600000,KOCAELI,KANDIRA,KEFKEN,TARLA,8619,MUSTAKIL PARSEL,516.95,23.0,0,0,1,0,1,0,0,1
1774,750000,IZMIR,KEMALPASA,75 YIL CUMHURIYET,BAHCE,5300,MUSTAKIL PARSEL,699.448,229.83333333333334,0,1,0,0,1,0,1,0
1775,750000,BURSA,NILUFER,19 MAYIS,TARLA,1466,MUSTAKIL PARSEL,341.0,69.0,0,1,0,0,1,0,0,1
1779,490000,ANTALYA,KUMLUCA,INCIRCIK,TARLA,7100,MUSTAKIL PARSEL,222.5,89.66666666666667,1,0,0,0,1,1,0,0
1780,600000,IZMIR,SEFERIHISAR,GOLCUK,ZEYTINLIK,10500,MUSTAKIL PARSEL,60.0,3.0,1,0,0,0,1,1,0,0
1781,285000,HATAY,ANTAKYA,ESENTEPE,M_A,343,MUSTAKIL PARSEL,516.95,2.6666666666666665,1,0,0,1,0,1,0,0
1783,880000,BURSA,NILUFER,AKCALAR,K_T,451,MUSTAKIL PARSEL,166.0,10.0,0,0,1,0,1,0,1,0
1784,60000,ISTANBUL,SILIVRI,BALABAN,I_K,250,HISSELI TAPU,7351.9047619047615,1.0,0,1,0,0,1,0,1,0
1785,210000,SINOP,MERKEZ,DIBEKLI,I_K,500,MUSTAKIL PARSEL,3848.1353333333336,297.949494949495,0,0,1,0,1,0,1,0
1786,450000,MUGLA,MARMARIS,BOZBURUN,TARLA,700,MUSTAKIL PARSEL,469.6666666666667,1.0,0,0,1,0,1,0,1,0
1787,1000000,KOCAELI,KARAMURSEL,KAYACIK,I_K,2769,MUSTAKIL PARSEL,360.0,89.66666666666667,1,0,0,0,1,0,0,1
1788,69900,ISTANBUL,SILIVRI,BALABAN,I_K,268,HISSELI TAPU,516.95,89.66666666666667,0,1,0,0,1,0,0,1
1789,545000,ESKISEHIR,ODUNPAZARI,YENISOFCA,TARLA,2780,MUSTAKIL PARSEL,196.0,100.0,0,1,0,0,1,0,1,0
1790,1232000,ANKARA,SINCAN,MALIKOY,TARLA,8205,HISSELI TAPU,516.95,89.66666666666667,0,0,1,0,1,1,0,0
1791,150000,AYDIN,GERMENCIK,TURANLAR,K_T,915,MUSTAKIL PARSEL,465.5,38.333333333333336,1,0,0,0,1,1,0,0
1792,55000,ANKARA,CUBUK,ATATURK,BAHCE,500,HISSELI TAPU,90.0,297.949494949495,0,1,0,0,1,1,0,0
1793,430000,TEKIRDAG,KAPAKLI,FATIH,K_T,409,MUSTAKIL PARSEL,105.5,16.0,0,0,1,0,1,0,1,0
1795,140000,KAYSERI,MELIKGAZI,SARIMSAKLI,I_K,973,MUSTAKIL PARSEL,144.0,1.0,0,1,0,0,1,0,1,0
1798,350000,AYDIN,SOKE,GULLUBAHCE,I_K,710,MUSTAKIL PARSEL,250.0,15.0,0,1,0,0,1,0,1,0
1799,200000,CANAKKALE,LAPSEKI,GURECI,I_K,612,MUSTAKIL PARSEL,580.0,89.66666666666667,1,0,0,0,1,1,0,0
1800,190000,KIRKLARELI,LULEBURGAZ,EMIRALI,TARLA,7500,MUSTAKIL PARSEL,25.0,899.0,0,0,1,0,1,0,1,0
1801,985000,IZMIR,BERGAMA,OKCULAR,CIFTLIK,639,MUSTAKIL PARSEL,672.0,89.66666666666667,1,0,0,0,1,0,1,0
1802,480000,MUGLA,DALAMAN,GURKOY,TARLA,1219,MUSTAKIL PARSEL,257.5,5.0,0,0,1,0,1,0,0,1
1803,1200000,ISTANBUL,SARIYER,TARABYA,I_K,684,HISSELI TAPU,12.0,35.0,0,1,0,1,0,1,0,0
1804,390000,CORUM,MERKEZ,BUHARAEVLER,I_K,1668,HISSELI TAPU,516.95,41.0,0,0,1,0,1,1,0,0
1805,260000,ANKARA,GOLBASI,TULUMTAS,TARLA,517,MUSTAKIL PARSEL,250.0,20.5,0,0,1,0,1,0,1,0
1809,340000,BURDUR,BUCAK,CAMLICA,I_K,470,MUSTAKIL PARSEL,716.0,39.0,0,0,1,0,1,0,1,0
1811,1950000,BURSA,OSMANGAZI,HUDAVENDIGAR,I_K,960,MUSTAKIL PARSEL,1015.3333333333334,1.0,0,0,1,0,1,0,1,0
1812,400000,MUGLA,ORTACA,MERGENLI,I_K,625,MUSTAKIL PARSEL,3300.0,5.0,0,0,1,0,1,0,1,0
1813,345000,IZMIR,KEMALPASA,85 YIL CUMHURIYET,BAHCE,1380,MUSTAKIL PARSEL,250.0,21.333333333333332,0,1,0,0,1,0,1,0
1817,365000,KOCAELI,GOLCUK,ULASLI YAVUZ SULTAN SELIM,I_K,462,MUSTAKIL PARSEL,2012.4,3.0,0,0,1,0,1,0,1,0
1819,1500000,ANTALYA,AKSU,FETTAHLI,TARLA,5041,MUSTAKIL PARSEL,516.95,322.0,0,0,1,0,1,0,1,0
1823,1650000,ANKARA,GOLBASI,KIZILCASAR,I_K,3000,MUSTAKIL PARSEL,589.6111111111111,364.4871794871795,1,0,0,0,1,1,0,0
1825,810000,IZMIR,SEFERIHISAR,ORHANLI,BAHCE,3806,MUSTAKIL PARSEL,516.95,3.0,0,0,1,0,1,0,1,0
1826,495000,MUGLA,MENTESE,YARAS,I_K,1817,MUSTAKIL PARSEL,280.0,37.0,0,1,0,0,1,1,0,0
1827,275000,ANKARA,CUBUK,YAVUZSELIM,I_K,525,MUSTAKIL PARSEL,516.95,40.0,1,0,0,1,0,1,0,0
1828,400000,ANKARA,MAMAK,KARSIYAKA,I_K,2000,MUSTAKIL PARSEL,34740.208333333336,319.34285714285716,0,0,1,1,0,0,1,0
1829,130000,SINOP,MERKEZ,BOSTANCILI,I_K,498,MUSTAKIL PARSEL,1721.0,14.0,1,0,0,0,1,1,0,0
1831,63000,ISTANBUL,CATALCA,IZZETTIN,TARLA,219,MUSTAKIL PARSEL,516.95,85.0,0,1,0,0,1,0,0,1
1832,1550000,MUGLA,KOYCEGIZ,SULTANIYE,I_K,7100,HISSELI TAPU,222.5,89.66666666666667,0,1,0,0,1,0,1,0
1834,450000,IZMIR,BERGAMA,BOLCEK,ZEYTINLIK,6000,MUSTAKIL PARSEL,9529.823999999999,477.9259259259259,1,0,0,0,1,1,0,0
1835,890000,ISTANBUL,BASAKSEHIR,GUVERCINTEPE,I_K,330,HISSELI TAPU,2750.0,1.0,0,1,0,1,0,0,1,0
1837,65000,EDIRNE,UZUNKOPRU,DANISMENT,BAG,1000,MUSTAKIL PARSEL,7416.586781609196,907.0,0,1,0,0,1,0,1,0
1840,1245000,ANKARA,GOLBASI,KIZILCASAR,I_T,345,MUSTAKIL PARSEL,860.6666666666666,336.5,0,0,1,0,1,0,1,0
1841,170000,ANKARA,GOLBASI,KARSIYAKA,I_K,250,MUSTAKIL PARSEL,7351.9047619047615,623.4848484848485,1,0,0,0,1,1,0,0
1843,150000,BURSA,KESTEL,DEREKIZIK,BAHCE,320,MUSTAKIL PARSEL,550.0,5.2,0,0,1,0,1,1,0,0
1844,370000,ANTALYA,KUMLUCA,BELEN,BAHCE,3435,MUSTAKIL PARSEL,516.95,89.66666666666667,0,1,0,0,1,0,1,0
1845,768000,BALIKESIR,EDREMIT,GURE,I_K,480,MUSTAKIL PARSEL,1600.0,26.0,0,0,1,0,1,0,1,0
1847,725000,CANAKKALE,GELIBOLU,ILGARDERE,TARLA,7369,MUSTAKIL PARSEL,50.0,89.66666666666667,1,0,0,0,1,1,0,0
1848,1300000,ISTANBUL,SILIVRI,AKOREN,TARLA,13750,MUSTAKIL PARSEL,437.0,543.0,0,0,1,0,1,1,0,0
1850,115000,CANAKKALE,BIGA,GUNDOGDU,TARLA,6895,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,0,1
1851,58000,ISTANBUL,SILIVRI,BALABAN,I_K,250,HISSELI TAPU,7351.9047619047615,1.0,0,1,0,0,1,0,1,0
1853,365000,ANTALYA,KUMLUCA,ERENTEPE,TARLA,2500,MUSTAKIL PARSEL,23037.81818181818,413.75,1,0,0,0,1,1,0,0
1856,155000,NIGDE,MERKEZ,YESILBURC,I_K,618,MUSTAKIL PARSEL,48.0,25.0,0,1,0,0,1,0,1,0
1860,185000,KARAMAN,MERKEZ,MEDRESELIK,TARLA,14962,MUSTAKIL PARSEL,516.95,25.0,0,1,0,0,1,0,1,0
1863,99000,KONYA,SELCUKLU,TATKOY,TARLA,1050,MUSTAKIL PARSEL,218.5,148.83333333333334,1,0,0,0,1,0,0,1
1868,450000,BALIKESIR,EDREMIT,ZEYTINLI,BAHCE,450,MUSTAKIL PARSEL,668.5,1.0,0,1,0,0,1,0,0,1
1869,250000,YALOVA,ARMUTLU,KARSIYAKA,I_K,300,MUSTAKIL PARSEL,830.0,91.0,0,1,0,1,0,1,0,0
1871,250000,KARAMAN,MERKEZ,DERE,I_T,1700,MUSTAKIL PARSEL,309.0833333333333,1.0,1,0,0,0,1,0,1,0
1872,650000,ANKARA,ELMADAG,HASANOGLAN FATIH,BAHCE,2300,MUSTAKIL PARSEL,33957.88888888889,502.8181818181818,0,0,1,0,1,1,0,0
1873,132000,MANISA,YUNUSEMRE,OSMANCALI,I_K,520,MUSTAKIL PARSEL,695.2471428571428,463.0,0,0,1,0,1,0,1,0
1874,1375000,DUZCE,MERKEZ,SINIRCI,I_K,8586,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
1875,65000,SAKARYA,GEYVE,HALIDIYE,I_K,1300,MUSTAKIL PARSEL,511.93125,606.1333333333333,0,1,0,0,1,1,0,0
1876,114000,CANAKKALE,EZINE,CAMIKEBIR,I_K,290,MUSTAKIL PARSEL,434.63625,22.0,0,1,0,0,1,0,1,0
1877,120000,BURSA,NILUFER,CATALAGIL,BAHCE,897,MUSTAKIL PARSEL,420.0,546.0,0,1,0,0,1,1,0,0
1879,500000,SAKARYA,KARASU,KABAKOZ,I_K,628,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,1,0
1880,85000,BALIKESIR,ALTIEYLUL,DINKCILER,I_K,154,MUSTAKIL PARSEL,516.95,9.0,0,0,1,0,1,0,1,0
1881,650000,ISTANBUL,SILIVRI,HURRIYET,I_K,650,MUSTAKIL PARSEL,650.0,13.0,0,0,1,0,1,0,1,0
1882,285000,BALIKESIR,GONEN,MURATLAR,TARLA,17000,MUSTAKIL PARSEL,311.25,488.5,1,0,0,0,1,1,0,0
1883,375000,BURSA,MUDANYA,TIRILYE,BAHCE,3500,MUSTAKIL PARSEL,107.0,111.0,0,0,1,0,1,0,1,0
1884,240000,TEKIRDAG,SULEYMANPASA,KARADENIZ,I_K,850,MUSTAKIL PARSEL,464.9,614.2,0,0,1,0,1,0,1,0
1887,97000,KOCAELI,DERINCE,GEREDELI,TARLA,1119,MUSTAKIL PARSEL,516.95,5.0,0,1,0,0,1,1,0,0
1888,519000,CANAKKALE,AYVACIK,AHMETCE,T_A,5044,MUSTAKIL PARSEL,516.95,51.0,0,0,1,0,1,0,1,0
1889,140000,KOCAELI,KANDIRA,DURACALI,TARLA,1390,MUSTAKIL PARSEL,631.0,15.5,1,0,0,0,1,1,0,0
1891,400000,MERSIN(ICEL),AKDENIZ,DEMIRHISAR,BAHCE,4000,MUSTAKIL PARSEL,5268.915384615384,264.3611111111111,0,0,1,0,1,0,1,0
1892,90000,ANTALYA,KAS,SUTLEGEN,BAHCE,1550,MUSTAKIL PARSEL,2892.5,73.22222222222223,0,0,1,0,1,1,0,0
1893,450000,NIGDE,MERKEZ,FERTEK,I_K,942,MUSTAKIL PARSEL,196.0,3.0,0,0,1,0,1,0,1,0
1894,245000,MUGLA,MENTESE,KOZAGAC,TARLA,7000,MUSTAKIL PARSEL,35.0,36.0,0,1,0,0,1,0,0,1
1897,500000,ANKARA,GOLBASI,KIZILCASAR,K_T,12700,MUSTAKIL PARSEL,100.0,89.66666666666667,1,0,0,1,0,1,0,0
1899,380000,KOCAELI,GOLCUK,KORFEZ,BAG,2440,TAHSIS,156.0,53.0,0,0,1,0,1,0,0,1
1902,400000,BALIKESIR,SAVASTEPE,HURRIYET,I_K,428,MUSTAKIL PARSEL,721.0,146.0,0,1,0,0,1,0,1,0
1903,95000,BURSA,MUDANYA,CEKRICE,TARLA,410,MUSTAKIL PARSEL,1.0,1.0,0,1,0,0,1,0,1,0
1904,105000,ANKARA,ETIMESGUT,YUKARIYURTCU,I_K,290,MUSTAKIL PARSEL,434.63625,22.0,1,0,0,0,1,1,0,0
1906,1950000,ISPARTA,MERKEZ,YAKAOREN,CIFTLIK,11707,MUSTAKIL PARSEL,516.95,89.66666666666667,0,1,0,0,1,1,0,0
1908,80000,MUGLA,MENTESE,ZEYTIN,TARLA,1012,MUSTAKIL PARSEL,849.0,39.333333333333336,0,0,1,0,1,1,0,0
1909,400000,ISTANBUL,BEYKOZ,CENGELDERE,BAHCE,654,MUSTAKIL PARSEL,70.5,2.0,1,0,0,0,1,1,0,0
1913,164000,ANKARA,ETIMESGUT,SEHITALI,M_A,1640,MUSTAKIL PARSEL,90.0,180.6,1,0,0,0,1,1,0,0
1914,85000,IZMIR,BERGAMA,YUKARIBEY,TARLA,637,MUSTAKIL PARSEL,667.0,37.0,1,0,0,0,1,1,0,0
1915,175000,CANAKKALE,AYVACIK,CINARPINAR,TARLA,450,MUSTAKIL PARSEL,668.5,408.6470588235294,0,1,0,0,1,0,1,0
1916,250000,ANTALYA,KONYAALTI,CAGLARCA,BAHCE,1300,MUSTAKIL PARSEL,511.93125,2.0,1,0,0,0,1,1,0,0
1917,1300000,ANTALYA,KUMLUCA,SARIKAVAK,BAHCE,13000,MUSTAKIL PARSEL,2302.6666666666665,134.57142857142858,0,1,0,1,0,0,1,0
1918,1650000,ISTANBUL,BEYKOZ,YAVUZ SELIM,BAHCE,1521,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,1,0,0
1919,36000,CANAKKALE,BAYRAMIC,KORUCAK,BAHCE,500,MUSTAKIL PARSEL,90.0,336.0,0,1,0,0,1,0,0,1
1921,1750000,IZMIR,MENDERES,OGLANANASI ATATURK,TARLA,14243,MUSTAKIL PARSEL,84.0,8.0,0,0,1,0,1,0,1,0
1922,140000,MANISA,YUNUSEMRE,50 YIL,I_K,58,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,1,0
1923,250000,KIRKLARELI,LULEBURGAZ,CIFTLIKKOY,TARLA,12987,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
1924,100000,ANKARA,CUBUK,SARAYCIK,BAHCE,4230,MUSTAKIL PARSEL,23.0,1.0,0,1,0,0,1,0,1,0
1925,1126500,MUGLA,DATCA,HIZIRSAH,TARLA,11265,MUSTAKIL PARSEL,516.95,5.0,0,1,0,0,1,0,1,0
1926,260000,ANTALYA,KUMLUCA,ALTINYAKA,TARLA,13000,MUSTAKIL PARSEL,20000.0,134.57142857142858,0,0,1,0,1,0,1,0
1928,350000,NIGDE,MERKEZ,ULUAGAC,TARLA,11678,MUSTAKIL PARSEL,30000.0,445.0,0,1,0,0,1,0,1,0
1931,200000,RIZE,DEREPAZARI,ERIKLIMANI,BAHCE,882,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
1932,480000,KOCAELI,KARAMURSEL,4 TEMMUZ,I_K,367,MUSTAKIL PARSEL,1.0,132.0,0,0,1,0,1,0,1,0
1934,410000,ISTANBUL,SILIVRI,BUYUK CAVUSLU,I_K,750,MUSTAKIL PARSEL,553.0,2.0,0,0,1,0,1,0,1,0
1935,210000,CANAKKALE,MERKEZ,KURSUNLU,I_K,239,MUSTAKIL PARSEL,1674.0,9.0,0,0,1,0,1,1,0,0
1936,275000,IZMIR,TORBALI,AYRANCILAR,I_K,312,MUSTAKIL PARSEL,880.0,11.0,0,0,1,0,1,0,1,0
1937,330000,SINOP,MERKEZ,OSMANIYE,TARLA,750,MUSTAKIL PARSEL,361.9,1.0,0,0,1,0,1,0,0,1
1938,175000,BALIKESIR,GONEN,KURTULUS,TARLA,13250,MUSTAKIL PARSEL,25.0,89.66666666666667,1,0,0,0,1,1,0,0
1939,1000,ANTALYA,KEPEZ,VARSAK KARSIYAKA,K_T,499,MUSTAKIL PARSEL,516.95,3.0,1,0,0,1,0,1,0,0
1940,150000,IZMIR,BERGAMA,YUKARIBEY,TARLA,4242,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
1941,350000,ANTALYA,AKSU,CALKAYA,I_K,360,MUSTAKIL PARSEL,2356.1459999999997,7.0,0,1,0,1,0,0,1,0
1942,140000,IZMIR,MENEMEN,MUSTAFA KEMAL ATATURK,I_K,420,MUSTAKIL PARSEL,1933.979090909091,7.8,0,0,1,0,1,0,1,0
1944,80000,MUGLA,MILAS,SOGUTCUK,TARLA,822,MUSTAKIL PARSEL,516.95,79.0,0,0,1,0,1,0,1,0
1945,420000,BALIKESIR,BURHANIYE,HISARKOY,ZEYTINLIK,7342,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,1,0
1948,95000,ISTANBUL,CATALCA,KABAKCA,BAHCE,250,MUSTAKIL PARSEL,7351.9047619047615,623.4848484848485,1,0,0,0,1,1,0,0
1954,1650000,KOCAELI,KARAMURSEL,DEREKOY,BAHCE,3000,MUSTAKIL PARSEL,589.6111111111111,364.4871794871795,0,0,1,0,1,0,1,0
1955,128180,SAKARYA,ARIFIYE,NEVIYE,I_K,493,MUSTAKIL PARSEL,248.5,15.25,1,0,0,0,1,1,0,0
1956,180000,ANKARA,PURSAKLAR,SIRKELI YESILOVA,BAHCE,480,MUSTAKIL PARSEL,844.2,335.3333333333333,0,0,1,0,1,0,1,0
1957,150000,IZMIR,BUCA,KIRIKLAR,ZEYTINLIK,470,HISSELI TAPU,655.7142857142857,39.0,1,0,0,0,1,1,0,0
1959,62000,ADANA,POZANTI,YENIKONACIK,I_K,394,MUSTAKIL PARSEL,1237.5,200.0,0,0,1,0,1,0,0,1
1960,1200000,SAKARYA,ADAPAZARI,ALANDUZU,TARLA,9900,MUSTAKIL PARSEL,516.95,79.0,1,0,0,0,1,1,0,0
1962,175000,ANTALYA,KORKUTELI,SULEKLER,BAHCE,1655,MUSTAKIL PARSEL,492.0,1.0,1,0,0,0,1,1,0,0
1964,200000,BALIKESIR,GOMEC,YAYA,I_K,415,MUSTAKIL PARSEL,2083.0,50.5,1,0,0,0,1,1,0,0
1965,250000,KONYA,ILGIN,GOKCEYURT,TARLA,10736,MUSTAKIL PARSEL,516.95,89.66666666666667,0,1,0,0,1,0,1,0
1966,170000,HATAY,ISKENDERUN,BUYUKDERE,I_K,365,MUSTAKIL PARSEL,3780.0,7.5,1,0,0,0,1,1,0,0
1967,1550000,BALIKESIR,EDREMIT,CAMIVASAT,CIFTLIK,8500,MUSTAKIL PARSEL,18329.272727272728,2.5,1,0,0,0,1,1,0,0
1968,285000,ISTANBUL,BEYKOZ,SOGUKSU,T_K,82,MUSTAKIL PARSEL,3500.0,333.0,1,0,0,0,1,1,0,0
1969,990000,CANAKKALE,GELIBOLU,CUMALI,TARLA,17500,MUSTAKIL PARSEL,12558.0,5.0,1,0,0,0,1,1,0,0
1970,1180000,IZMIR,TIRE,CINIYERI,BAHCE,3773,MUSTAKIL PARSEL,310.0,20.0,0,0,1,0,1,0,0,1
1971,175000,ADIYAMAN,KAHTA,GIRNE,I_K,400,MUSTAKIL PARSEL,400.0,2.0,0,1,0,1,0,0,1,0
1972,85000,KOCAELI,DERINCE,TERZILER,TARLA,840,MUSTAKIL PARSEL,101.0,316.0,1,0,0,0,1,1,0,0
1973,280000,HATAY,ALTINOZU,SOFULAR,TARLA,4500,MUSTAKIL PARSEL,20163.58823529412,374.3,0,0,1,0,1,1,0,0
1974,1200000,IZMIR,GUZELBAHCE,YAKA,I_K,1650,MUSTAKIL PARSEL,800.0,0.5,0,0,1,0,1,0,1,0
1975,600000,MUGLA,MILAS,KORU,TARLA,10000,MUSTAKIL PARSEL,4065.548387096774,287.3333333333333,0,1,0,0,1,1,0,0
1976,700000,KONYA,MERAM,KOYCEGIZ,I_K,1025,MUSTAKIL PARSEL,500.0,40.4,1,0,0,0,1,0,1,0
1977,525000,ANKARA,GOLBASI,BALLIKPINAR,I_K,1532,MUSTAKIL PARSEL,300.0,6.0,0,0,1,0,1,0,1,0
1978,477000,BALIKESIR,EDREMIT,CAMLIBEL,I_K,353,MUSTAKIL PARSEL,692.75,9.75,0,0,1,0,1,0,1,0
1979,1300000,KAHRAMANMARAS,ONIKISUBAT,KILAVUZLU,BAHCE,3700,ZILLIYET,3250.0,764.1666666666666,0,0,1,0,1,0,0,1
1980,100000,BALIKESIR,BANDIRMA,YENI,I_K,120,HISSELI TAPU,830.0,11.0,1,0,0,0,1,1,0,0
1981,370000,MUGLA,ULA,ALPARSLAN,I_K,447,MUSTAKIL PARSEL,850.0,89.66666666666667,0,1,0,0,1,0,0,1
1982,160000,KIRKLARELI,BABAESKI,GAZIKEMAL,I_S,346,MUSTAKIL PARSEL,500.0,9.0,0,0,1,0,1,0,1,0
1983,870000,SAKARYA,SAPANCA,KIRKPINAR TEPEBASI,I_K,1080,MUSTAKIL PARSEL,129.0,41.5,0,0,1,0,1,1,0,0
1985,1300000,IZMIR,SEFERIHISAR,TURABIYE,I_K,1380,MUSTAKIL PARSEL,250.0,16.0,0,1,0,0,1,0,1,0
1986,525000,BURSA,OSMANGAZI,CAGLAYAN,TARLA,5573,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,1,0,0
1987,290000,BALIKESIR,EDREMIT,HACIARSLANLAR,BAHCE,2500,MUSTAKIL PARSEL,92.0,413.75,0,1,0,0,1,1,0,0
1990,300000,TRABZON,AKCAABAT,SALACIK,BAHCE,7000,HISSELI TAPU,481.75,36.0,0,0,1,0,1,0,1,0
1993,450000,ISTANBUL,CATALCA,KIZILCAALI,TARLA,1177,HISSELI TAPU,382.0,30.0,0,1,0,0,1,0,0,1
1995,125000,BILECIK,MERKEZ,KOYUNKOY,TARLA,10437,MUSTAKIL PARSEL,516.95,16.0,0,1,0,1,0,1,0,0
1996,850000,IZMIR,ODEMIS,DEMIRCILI,TARLA,6630,MUSTAKIL PARSEL,90.0,8.0,1,0,0,0,1,1,0,0
1999,415000,ORDU,FATSA,EVKAF,I_K,340,MUSTAKIL PARSEL,132.0,5.0,0,0,1,1,0,1,0,0
2000,500000,KAHRAMANMARAS,ONIKISUBAT,HURRIYET,BAG,2000,MUSTAKIL PARSEL,34740.208333333336,319.34285714285716,1,0,0,0,1,1,0,0
2005,1150000,ANKARA,AKYURT,CUCUK,TARLA,8772,MUSTAKIL PARSEL,131.0,14.0,0,0,1,0,1,0,0,1
2006,273375,KAYSERI,KOCASINAN,YAZIR,TARLA,135,MUSTAKIL PARSEL,135.0,7.0,0,0,1,0,1,0,1,0
2007,620000,ISTANBUL,CATALCA,KABAKCA,TARLA,2675,HISSELI TAPU,516.95,533.0,0,0,1,0,1,0,0,1
2008,90000,ANKARA,HAYMANA,SEYRAN,I_K,600,MUSTAKIL PARSEL,604.6363636363636,300.0,1,0,0,0,1,1,0,0
2011,750000,BALIKESIR,ALTIEYLUL,HALALCA,TARLA,3200,MUSTAKIL PARSEL,309.75,43.0,0,1,0,0,1,0,1,0
2013,140000,KOCAELI,KANDIRA,SEREFSUNGUR,K_T,990,MUSTAKIL PARSEL,314.0,7.0,0,1,0,0,1,0,1,0
2014,300000,BALIKESIR,EDREMIT,AKCAY,I_K,162,MUSTAKIL PARSEL,6667.0,4.75,1,0,0,0,1,1,0,0
2015,45000,AFYONKARAHISAR,CAY,DERESINEK (KAHRAMAN),I_K,400,MUSTAKIL PARSEL,112.0,288.86206896551727,0,0,1,0,1,0,1,0
2016,265000,YALOVA,TERMAL,AKKOY,I_K,460,MUSTAKIL PARSEL,820.4,11.0,0,0,1,0,1,0,1,0
2018,275000,BALIKESIR,AYVALIK,KUCUKKOY,ZEYTINLIK,5565,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
2019,450000,TEKIRDAG,MARMARAEREGLISI,YENICIFTLIK,BAG,6000,MUSTAKIL PARSEL,9529.823999999999,477.9259259259259,1,0,0,0,1,1,0,0
2020,75000,ISTANBUL,CATALCA,CIFTLIKKOY,I_K,250,HISSELI TAPU,7351.9047619047615,623.4848484848485,0,1,0,0,1,0,1,0
